category,department,brand,inventory_units,inventory_cost,inventory_retail_value,units_sold_90d,sell_through_proxy,weeks_of_supply_proxy
Fashion Hoodies & Sweatshirts,Women,WESC,9,273.18,548.55,1,0.1,9.0
Fashion Hoodies & Sweatshirts,Women,UltraClub,9,272.41,575.91,1,0.1,9.0
Dresses,Women,Alternative,9,271.12,612.0,0,0.0,
Fashion Hoodies & Sweatshirts,Women,Michael Kors,9,267.47,524.45,1,0.1,9.0
Blazers & Jackets,Women,Jack,9,262.82,734.13,0,0.0,
Sleep & Lounge,Women,Charter Club,9,260.82,404.37,0,0.0,
Swim,Women,Beach Native,9,253.22,539.91,1,0.1,9.0
Sweaters,Women,August Silk,9,252.2,572.0,2,0.1818,4.5
Accessories,Women,Lacoste,9,251.82,629.55,0,0.0,
Fashion Hoodies & Sweatshirts,Women,Huafeng,9,247.28,539.91,0,0.0,
Sweaters,Men,Oakley,9,246.78,540.0,0,0.0,
Sweaters,Women,Ulla Popken,9,246.27,561.0,1,0.1,9.0
Socks,Men,CW-X,9,245.43,405.0,2,0.1818,4.5
Maternity,Women,Boob,9,245.16,540.0,1,0.1,9.0
Plus,Women,Ralph by Ralph Lauren,9,241.84,536.22,1,0.1,9.0
Swim,Women,Eco Swim,9,239.62,576.0,0,0.0,
Fashion Hoodies & Sweatshirts,Men,Sons Of Anarchy,9,237.1,449.91,2,0.1818,4.5
Shorts,Women,Isis,9,235.9,494.55,2,0.1818,4.5
Blazers & Jackets,Women,Willow & Clay,9,235.06,654.75,0,0.0,
Fashion Hoodies & Sweatshirts,Women,Lizatards,9,230.72,468.0,0,0.0,
Pants,Men,Drake,9,228.92,539.91,1,0.1,9.0
Intimates,Women,Second Base,9,225.72,396.0,2,0.1818,4.5
Fashion Hoodies & Sweatshirts,Women,Roamans,9,223.7,494.91,0,0.0,
Shorts,Women,INC International Concepts,9,221.56,423.63,1,0.1,9.0
Jeans,Men,Lip Service,9,220.08,404.55,0,0.0,
Tops & Tees,Men,Ford Motor Company,9,214.51,359.91,0,0.0,
Plus,Women,Devon & Jones,9,212.95,399.91,1,0.1,9.0
Shorts,Women,Girlfriends Material,9,210.18,449.1,1,0.1,9.0
Plus,Women,Stormy Kromer,9,208.74,440.37,0,0.0,
Underwear,Men,Saucony,9,202.95,450.0,0,0.0,
Tops & Tees,Men,Ambiguous,9,202.07,359.55,1,0.1,9.0
Shorts,Women,Fit Couture,9,200.47,387.0,0,0.0,
Shorts,Women,Reef,9,199.15,432.0,2,0.1818,4.5
Pants & Capris,Women,RSQ,9,198.67,359.91,1,0.1,9.0
Intimates,Women,A.B.S. by Allen Schwartz,9,198.0,360.0,1,0.1,9.0
Pants & Capris,Women,Billabong,9,197.3,355.5,1,0.1,9.0
Pants,Men,JeansXL,9,196.9,449.55,0,0.0,
Sweaters,Women,525 America,9,194.14,477.0,3,0.25,3.0
Fashion Hoodies & Sweatshirts,Men,FEA,9,192.86,348.12,3,0.25,3.0
Swim,Men,Wildman T,9,190.58,315.0,0,0.0,
Fashion Hoodies & Sweatshirts,Women,U.S. Polo Assn.,9,189.09,404.91,1,0.1,9.0
Maternity,Women,Elila,9,187.81,423.0,0,0.0,
Leggings,Women,DC,9,187.27,306.0,1,0.1,9.0
Maternity,Women,Cotton Glam,9,186.71,414.0,1,0.1,9.0
Pants & Capris,Women,Sealed with a Kiss Designs Plus Size,9,185.68,351.0,1,0.1,9.0
Accessories,Men,Silverado,9,183.54,485.55,0,0.0,
Active,Women,DC,9,179.26,414.0,1,0.1,9.0
Shorts,Men,Sean John,9,178.93,326.52,1,0.1,9.0
Active,Women,DTL Down The Line Sportswear Inc.,9,176.44,468.0,2,0.1818,4.5
Sleep & Lounge,Men,Cool-jams Wicking Sleepwear,9,169.78,441.0,0,0.0,
Plus,Women,Exquisite Form,9,165.12,332.91,2,0.1818,4.5
Jumpsuits & Rompers,Women,American Rag,9,163.66,308.79,0,0.0,
Tops & Tees,Women,KY INTERNATIONAL,9,160.72,305.55,1,0.1,9.0
Fashion Hoodies & Sweatshirts,Women,Dolphin Shirt Co,9,160.62,332.55,1,0.1,9.0
Plus,Women,Lilyette,9,160.04,306.0,0,0.0,
Plus,Women,Spanx,9,158.69,342.0,0,0.0,
Fashion Hoodies & Sweatshirts,Women,Nation LTD,9,157.25,308.34,2,0.1818,4.5
Sweaters,Women,SZ,9,156.84,326.91,1,0.1,9.0
Sweaters,Women,My Michelle,9,155.85,381.06,1,0.1,9.0
Tops & Tees,Women,Sport-Tek,9,155.63,278.91,1,0.1,9.0
Accessories,Women,Vince Camuto,9,155.11,405.0,1,0.1,9.0
Pants,Men,Silly yogi,9,153.72,315.0,0,0.0,
Skirts,Women,O'Neill,9,153.59,414.0,1,0.1,9.0
Pants & Capris,Women,Jantzen,9,153.53,302.22,1,0.1,9.0
Pants & Capris,Women,Hot Fash,9,153.4,296.91,0,0.0,
Pants & Capris,Women,alight,9,152.08,306.0,0,0.0,
Underwear,Men,Hot Chillys,9,151.92,360.0,0,0.0,
Sleep & Lounge,Women,Age Group,9,150.88,269.91,2,0.1818,4.5
Pants,Men,DKNY,9,147.27,296.91,1,0.1,9.0
Outerwear & Coats,Men,Russell Athletic,9,147.06,314.91,1,0.1,9.0
Outerwear & Coats,Women,Kirra,9,146.82,355.5,1,0.1,9.0
Swim,Women,PUMA,9,145.17,314.91,0,0.0,
Dresses,Women,Cool Kaftans,9,142.93,314.82,0,0.0,
Active,Men,Good Life Shirts,9,142.52,359.91,0,0.0,
Tops & Tees,Men,Out of Print,9,141.88,252.0,2,0.1818,4.5
Socks,Men,Drymax,9,141.08,256.05,0,0.0,
Blazers & Jackets,Women,Poof,9,140.76,360.0,1,0.1,9.0
Plus,Women,FoxRiver,9,140.74,287.82,1,0.1,9.0
Dresses,Women,Monty Q,9,139.82,314.91,0,0.0,
Shorts,Women,JAG Jeans,9,139.68,288.0,1,0.1,9.0
Sleep & Lounge,Women,Cinema Etoile,9,132.3,225.0,1,0.1,9.0
Tops & Tees,Men,Undefeated,9,131.69,233.91,2,0.1818,4.5
Swim,Women,Polo Ralph Lauren,9,131.52,350.73,0,0.0,
Accessories,Men,Beardski,9,130.54,314.55,1,0.1,9.0
Plus,Women,Artex,9,129.85,287.91,1,0.1,9.0
Intimates,Women,Ames,9,129.1,224.91,0,0.0,
Dresses,Women,Avital,9,128.21,269.91,1,0.1,9.0
Jeans,Women,Samanthas Style Shoppe,9,126.75,224.73,1,0.1,9.0
Sweaters,Women,YogaColors,9,122.47,252.0,3,0.25,3.0
Socks,Men,TractionSocks,9,121.18,216.0,2,0.1818,4.5
Accessories,Women,The SAK,9,120.01,315.0,1,0.1,9.0
Pants & Capris,Women,One Step Up Plus,9,119.02,225.0,2,0.1818,4.5
Tops & Tees,Men,Hollister,9,118.55,197.91,1,0.1,9.0
Sweaters,Men,Duofold,9,117.94,252.0,1,0.1,9.0
Jumpsuits & Rompers,Women,Anna-Kaci,9,116.67,227.1,1,0.1,9.0
Tops & Tees,Women,Black Market-Lowbrow,9,115.64,224.55,2,0.1818,4.5
Jeans,Women,1826,9,112.98,206.55,0,0.0,
Active,Men,Colorado Timberline,9,112.27,243.0,0,0.0,
Tops & Tees,Women,Selena Gomez,9,111.32,189.0,0,0.0,
Skirts,Women,LAGUNA BEACH,9,110.43,251.55,0,0.0,
Shorts,Women,Alfred Dunner,9,109.8,225.0,1,0.1,9.0
Shorts,Women,Ella Moss,9,108.9,225.0,1,0.1,9.0
Outerwear & Coats,Men,Turfer,9,108.42,251.55,1,0.1,9.0
Sleep & Lounge,Men,U.S. Polo Assn.,9,106.92,270.0,0,0.0,
Tops & Tees,Men,Football Fanatics,9,106.28,197.55,1,0.1,9.0
Shorts,Men,Cornerstone,9,105.8,215.91,1,0.1,9.0
Shorts,Women,Pencey,9,105.75,225.0,0,0.0,
Skirts,Women,Jedzebel,9,104.22,287.91,0,0.0,
Tops & Tees,Women,Westmoor Mfg P/s,9,103.63,179.91,0,0.0,
Tops & Tees,Women,Cecico Clothing,9,103.63,179.91,2,0.1818,4.5
Fashion Hoodies & Sweatshirts,Women,Maggie's Organics,9,103.28,225.0,2,0.1818,4.5
Fashion Hoodies & Sweatshirts,Women,Calvin Klein,9,102.35,220.83,1,0.1,9.0
Fashion Hoodies & Sweatshirts,Women,VANCL,9,102.09,220.5,0,0.0,
Tops & Tees,Men,Merch Makers,9,101.88,180.0,0,0.0,
Tops & Tees,Men,White Mt.,9,101.66,187.92,1,0.1,9.0
Socks & Hosiery,Women,Hello Kitty,9,99.9,225.0,3,0.25,3.0
Outerwear & Coats,Women,Cherokee,9,99.75,219.24,2,0.1818,4.5
Fashion Hoodies & Sweatshirts,Women,Marc Ecko,9,99.64,224.91,1,0.1,9.0
Maternity,Women,UNIONBAY,9,98.33,225.0,1,0.1,9.0
Active,Women,Devon & Jones,9,98.17,243.78,0,0.0,
Swim,Women,Lilly Pulitzer,9,94.05,225.0,1,0.1,9.0
Shorts,Women,Tops and Bottoms HS,9,94.03,197.91,2,0.1818,4.5
Fashion Hoodies & Sweatshirts,Men,Brave Soul,9,93.48,175.05,3,0.25,3.0
Underwear,Men,Robinson Apparel,9,91.57,179.91,0,0.0,
Intimates,Women,The Original Bring It Up,9,90.4,162.0,1,0.1,9.0
Sleep & Lounge,Men,Covington,9,89.96,224.91,1,0.1,9.0
Plus,Women,Velrose,9,87.62,179.55,0,0.0,
Socks & Hosiery,Women,Merry Toes,9,87.05,234.0,1,0.1,9.0
Intimates,Women,Trendy Top,9,86.69,154.8,3,0.25,3.0
Socks,Men,Columbia,9,86.39,152.91,0,0.0,
Outerwear & Coats,Men,Cherokee,9,85.53,213.3,0,0.0,
Active,Women,HoodieBuddie,9,85.47,224.91,0,0.0,
Sleep & Lounge,Men,Canyon Ridge,9,85.24,224.91,1,0.1,9.0
Maternity,Women,Cantaloop,9,84.25,212.22,0,0.0,
Plus,Women,Cowboy Shop,9,84.25,166.5,0,0.0,
Sleep & Lounge,Men,Rimann & Associates,9,83.26,206.1,0,0.0,
Intimates,Women,Angelina Hosiery,9,82.42,152.91,2,0.1818,4.5
Accessories,Men,GII,9,81.87,224.91,1,0.1,9.0
Active,Women,Lizatards,9,81.54,180.0,0,0.0,
Sleep & Lounge,Men,Evolatree,9,80.74,224.91,1,0.1,9.0
Sleep & Lounge,Women,Body Touch,9,79.71,143.1,0,0.0,
Accessories,Women,Dearfoams,9,74.77,206.55,2,0.1818,4.5
Accessories,Women,Invisibelt,9,74.65,198.0,1,0.1,9.0
Accessories,Men,Concepts Touchscreen Gloves,9,74.61,197.91,0,0.0,
Outerwear & Coats,Women,Harriton,9,74.15,176.13,0,0.0,
Tops & Tees,Men,Back to Back,9,73.78,143.55,0,0.0,
Tops & Tees,Women,MTC,9,73.71,125.91,1,0.1,9.0
Outerwear & Coats,Men,Alki'i,9,73.02,161.91,0,0.0,
Socks,Men,Intimo,9,72.6,116.91,1,0.1,9.0
Shorts,Men,Talos,9,72.44,152.0,1,0.1,9.0
Swim,Women,COCO,9,72.32,179.91,1,0.1,9.0
Outerwear & Coats,Men,Reebok,9,70.74,179.55,0,0.0,
Jeans,Women,Luzy's Storage Place,9,67.25,116.55,0,0.0,
Accessories,Men,Hats,9,65.72,179.55,1,0.1,9.0
Dresses,Women,CUTE OPTIONS,9,63.18,135.0,1,0.1,9.0
Maternity,Women,Laura,9,63.02,143.55,0,0.0,
Outerwear & Coats,Women,LAST KISS,9,61.56,135.0,0,0.0,
Socks & Hosiery,Women,Betty Boop,9,60.57,134.91,1,0.1,9.0
Maternity,Women,Angelina Hosiery,9,60.09,152.91,1,0.1,9.0
Accessories,Women,Knit Caps,9,60.01,134.55,3,0.25,3.0
Accessories,Women,Northern Elements,9,58.82,134.91,0,0.0,
Active,Women,Touch of Europe Shirts & Tops,9,57.79,125.91,0,0.0,
Socks & Hosiery,Women,WMU,9,57.78,144.09,0,0.0,
Sleep & Lounge,Men,Scooby Doo,9,57.64,161.91,0,0.0,
Plus,Women,Echomerx,9,57.2,126.0,2,0.1818,4.5
Intimates,Women,Lauren Silva,9,56.83,107.64,0,0.0,
Accessories,Men,Van Heusen,9,54.81,126.0,0,0.0,
Intimates,Women,Chic Intimates,9,53.85,107.91,0,0.0,
Accessories,Men,District Threads,9,51.27,134.91,1,0.1,9.0
Sweaters,Women,VIP,9,49.69,116.91,3,0.25,3.0
Accessories,Women,SilverHooks,9,47.76,134.91,1,0.1,9.0
Socks & Hosiery,Women,Okutani,9,47.7,107.91,2,0.1818,4.5
Accessories,Men,Baby Banz,9,46.98,129.06,0,0.0,
Intimates,Women,Slicon Bra,9,46.48,89.91,2,0.1818,4.5
Plus,Women,Online-Welcome,9,45.75,89.01,0,0.0,
Intimates,Women,California Costumes,9,44.67,81.81,0,0.0,
Accessories,Men,Wembley,9,44.66,116.91,0,0.0,
Fashion Hoodies & Sweatshirts,Women,Alki'i,9,44.15,89.91,2,0.1818,4.5
Intimates,Women,L'eggs,9,43.83,90.0,0,0.0,
Accessories,Men,DC Shoes,9,43.15,111.51,0,0.0,
Socks,Men,Parquet,9,39.57,62.91,0,0.0,
Socks & Hosiery,Women,Ariat,9,39.22,89.55,1,0.1,9.0
Socks & Hosiery,Women,Feelmax,9,38.2,107.91,0,0.0,
Accessories,Men,DG Eyewear,9,36.63,89.55,2,0.1818,4.5
Socks & Hosiery,Women,Davco,9,35.96,89.91,0,0.0,
Active,Men,Indera,9,33.74,78.84,1,0.1,9.0
Socks & Hosiery,Women,Worlds Softest Sock,9,27.11,75.51,2,0.1818,4.5
Accessories,Men,L.O.G.A.,9,25.09,60.75,0,0.0,
Socks & Hosiery,Women,ililily,9,21.51,53.91,0,0.0,
Socks & Hosiery,Women,LRG,9,20.11,45.0,0,0.0,
Accessories,Women,Fashion Gloves,9,20.07,44.91,1,0.1,9.0
Intimates,Women,Torrid,9,19.98,36.0,0,0.0,
Accessories,Women,Activewear Apparel,9,16.31,44.55,1,0.1,9.0
Plus,Women,Keds,9,14.74,31.5,0,0.0,
Plus,Women,Pashminas4u,9,14.15,26.55,2,0.1818,4.5
Accessories,Women,Urban Boundaries Eyewear,9,5.81,15.48,0,0.0,
Blazers & Jackets,Women,NAU,8,1175.14,3319.6,1,0.1111,8.0
Active,Women,Mammut,8,1087.65,2639.92,0,0.0,
Dresses,Women,Cluny,8,928.8,2064.0,1,0.1111,8.0
Leggings,Women,AG Adriano Goldschmied,8,833.04,1424.0,1,0.1111,8.0
Skirts,Women,Cluny,8,799.55,1984.0,2,0.2,4.0
Outerwear & Coats,Women,SmartWool,8,739.2,1600.0,3,0.2727,2.67
Outerwear & Coats,Women,Oakley,8,729.12,1680.0,0,0.0,
Jeans,Women,Frankie B.,8,722.45,1384.0,0,0.0,
Jumpsuits & Rompers,Women,Zinke,8,719.4,1320.0,0,0.0,
Tops & Tees,Women,Joe's Jeans,8,678.85,1207.92,0,0.0,
Leggings,Women,BCBGMAXAZRIA,8,677.86,1104.0,0,0.0,
Sweaters,Women,NEVE,8,644.94,1439.6,0,0.0,
Shorts,Men,Jack Spade,8,638.6,1240.0,0,0.0,
Suits & Sport Coats,Men,Ramonti,8,625.78,1432.0,1,0.1111,8.0
Active,Men,Zoot,8,606.82,1376.0,1,0.1111,8.0
Outerwear & Coats,Men,True Grit,8,598.08,1344.0,0,0.0,
Leggings,Women,Acne,8,591.51,919.92,1,0.1111,8.0
Leggings,Women,GUESS by Marciano,8,590.85,1024.0,2,0.2,4.0
Pants & Capris,Women,Funktional,8,585.24,1196.8,0,0.0,
Clothing Sets,Women,Woman Within,8,535.95,799.92,1,0.1111,8.0
Active,Men,Zero Restriction,8,532.45,1279.92,0,0.0,
Sweaters,Women,Obermeyer,8,501.08,1116.0,2,0.2,4.0
Sweaters,Women,Fred Perry,8,491.92,1040.0,0,0.0,
Dresses,Women,Heather,8,491.0,1020.8,0,0.0,
Swim,Women,The Collection by L*Space,8,487.3,1152.0,0,0.0,
Skirts,Women,CoreyLynnCalter,8,476.95,1336.0,0,0.0,
Suits & Sport Coats,Men,Lauren by Ralph Lauren,8,464.77,1119.92,1,0.1111,8.0
Tops & Tees,Men,prAna,8,428.4,720.0,0,0.0,
Outerwear & Coats,Men,Hurley,8,418.73,876.0,3,0.2727,2.67
Swim,Women,Robin Piccone,8,414.96,1040.0,0,0.0,
Fashion Hoodies & Sweatshirts,Men,Superdry,8,408.0,800.0,0,0.0,
Blazers & Jackets,Women,Steel Paisley,8,389.76,960.0,0,0.0,
Dresses,Women,GUESS,8,389.65,784.0,0,0.0,
Sleep & Lounge,Women,Design Salt,8,389.12,640.0,0,0.0,
Tops & Tees,Women,Lacoste,8,382.34,716.0,0,0.0,
Dresses,Women,Maggy London,8,372.92,839.92,0,0.0,
Outerwear & Coats,Men,Rocawear,8,367.16,799.92,2,0.2,4.0
Pants & Capris,Women,Anue,8,354.34,639.6,0,0.0,
Fashion Hoodies & Sweatshirts,Women,Zobha,8,347.13,783.6,0,0.0,
Blazers & Jackets,Women,Rory Beca,8,344.89,981.96,0,0.0,
Maternity,Women,Aqua Sphere,8,344.69,719.6,0,0.0,
Suits & Sport Coats,Men,Quiksilver,8,339.1,796.0,1,0.1111,8.0
Fashion Hoodies & Sweatshirts,Men,Arbor,8,327.98,599.6,1,0.1111,8.0
Sweaters,Women,Hi-Tec,8,324.8,800.0,1,0.1111,8.0
Sleep & Lounge,Women,DC Comics,8,322.33,539.92,2,0.2,4.0
Maternity,Women,Anew,8,319.59,674.24,0,0.0,
Dresses,Women,Horny Toad,8,316.61,669.36,1,0.1111,8.0
Outerwear & Coats,Men,Bench,8,313.63,792.0,1,0.1111,8.0
Sleep & Lounge,Women,Baby Be Mine,8,308.11,479.92,2,0.2,4.0
Outerwear & Coats,Women,ASICS,8,304.6,679.92,0,0.0,
Blazers & Jackets,Women,Adrianna Papell,8,304.44,784.64,0,0.0,
Intimates,Women,La Fee Verte,8,301.2,600.0,0,0.0,
Intimates,Women,Bella Materna,8,300.56,520.0,1,0.1111,8.0
Fashion Hoodies & Sweatshirts,Women,Jack,8,299.4,600.0,1,0.1111,8.0
Pants & Capris,Women,Moving Comfort,8,298.66,544.0,0,0.0,
Sweaters,Men,Royal,8,295.0,639.92,0,0.0,
Outerwear & Coats,Men,Onyx-Arctic Shield-X-System,8,294.98,659.92,1,0.1111,8.0
Sleep & Lounge,Women,Lanz of Salzburg,8,294.91,512.0,0,0.0,
Accessories,Women,Serengeti,8,294.61,820.64,1,0.1111,8.0
Fashion Hoodies & Sweatshirts,Women,Rusty,8,288.29,624.0,1,0.1111,8.0
Sleep & Lounge,Women,SOLOW,8,286.23,495.2,0,0.0,
Outerwear & Coats,Men,Free Country,8,282.93,719.92,1,0.1111,8.0
Accessories,Women,AmeriBag,8,279.29,655.6,1,0.1111,8.0
Plus,Women,Marcoliani Milano,8,278.76,552.0,0,0.0,
Fashion Hoodies & Sweatshirts,Men,Element,8,278.46,476.0,1,0.1111,8.0
Jeans,Men,Petrol Jeans,8,276.91,479.92,0,0.0,
Tops & Tees,Women,BBW Boutique,8,275.04,480.0,0,0.0,
Fashion Hoodies & Sweatshirts,Men,Topo Ranch,8,273.09,544.0,0,0.0,
Tops & Tees,Women,KAVU,8,270.4,520.0,0,0.0,
Fashion Hoodies & Sweatshirts,Men,Spiderman,8,270.04,481.36,1,0.1111,8.0
Shorts,Women,Marmot,8,267.8,520.0,0,0.0,
Shorts,Men,Michael Kors,8,266.76,570.0,0,0.0,
Leggings,Women,Diesel,8,266.08,476.0,1,0.1111,8.0
Pants,Men,Yala,8,264.16,520.0,0,0.0,
Shorts,Women,Allen Allen,8,263.68,512.0,1,0.1111,8.0
Outerwear & Coats,Women,Blue Banana,8,262.04,559.92,2,0.2,4.0
Shorts,Women,Lifetime Collective,8,258.24,480.0,1,0.1111,8.0
Accessories,Women,Fratelli Orsini,8,255.19,607.6,0,0.0,
Dresses,Women,Purpura Erizo,8,252.57,599.92,0,0.0,
Skirts,Women,Tracy Reese,8,250.95,681.92,2,0.2,4.0
Fashion Hoodies & Sweatshirts,Women,Two Dog Island,8,250.92,492.0,0,0.0,
Outerwear & Coats,Men,Dakota Grizzly,8,250.43,551.6,0,0.0,
Pants & Capris,Women,Blueprint,8,249.22,431.92,1,0.1111,8.0
Tops & Tees,Women,Hocosa of Switzerland,8,246.38,464.0,1,0.1111,8.0
Fashion Hoodies & Sweatshirts,Women,Joe Browns,8,242.5,576.0,0,0.0,
Jeans,Men,Rip Curl,8,237.62,436.0,2,0.2,4.0
Shorts,Men,Kuhl,8,237.46,519.6,0,0.0,
Jeans,Women,Rawik,8,235.64,479.92,0,0.0,
Accessories,Women,Tory Burch,8,235.57,665.44,1,0.1111,8.0
Swim,Women,Woman Within,8,224.62,559.92,3,0.2727,2.67
Sweaters,Men,Trash Nouveau,8,223.36,455.84,2,0.2,4.0
Shorts,Men,Island Passport,8,223.08,440.0,0,0.0,
Swim,Women,Nike,8,220.5,498.88,0,0.0,
Tops & Tees,Women,Levi's,8,215.42,384.0,1,0.1111,8.0
Active,Men,DGK,8,214.73,519.92,0,0.0,
Leggings,Women,DreamSacks,8,214.37,336.0,0,0.0,
Intimates,Women,A-Line,8,211.39,399.6,2,0.2,4.0
Sweaters,Women,Edwards,8,209.69,439.6,0,0.0,
Shorts,Women,American Eagle,8,207.9,396.0,0,0.0,
Fashion Hoodies & Sweatshirts,Men,Keep On Truckin' Apparel,8,201.8,399.6,0,0.0,
Swim,Women,Splendid,8,200.64,440.0,0,0.0,
Fashion Hoodies & Sweatshirts,Men,Macks Prairie Wings,8,197.6,359.92,1,0.1111,8.0
Pants,Men,Antonio Ansaldi,8,197.16,399.92,0,0.0,
Sweaters,Women,The West Coast,8,195.62,456.0,0,0.0,
Sleep & Lounge,Men,Andrew Christian,8,194.94,472.0,0,0.0,
Sleep & Lounge,Women,Diesel,8,191.22,296.0,0,0.0,
Fashion Hoodies & Sweatshirts,Men,Ian Leino Design,8,191.05,348.0,1,0.1111,8.0
Tops & Tees,Women,Elan,8,190.67,319.92,2,0.2,4.0
Shorts,Men,Nomis,8,190.21,399.6,1,0.1111,8.0
Outerwear & Coats,Women,CoffeeShop,8,181.04,409.6,1,0.1111,8.0
Tops & Tees,Women,alo Sport,8,180.7,349.52,2,0.2,4.0
Fashion Hoodies & Sweatshirts,Men,FOURSQUARE,8,175.48,303.6,1,0.1111,8.0
Fashion Hoodies & Sweatshirts,Men,Shirt City,8,172.04,295.6,1,0.1111,8.0
Tops & Tees,Men,Diamond Chain,8,171.8,319.92,0,0.0,
Outerwear & Coats,Men,Ed Hardy,8,170.37,399.92,0,0.0,
Fashion Hoodies & Sweatshirts,Men,NOTW,8,168.92,319.92,0,0.0,
Swim,Men,Pistol Pete Underwear,8,168.19,288.0,1,0.1111,8.0
Intimates,Women,Apt 9,8,167.04,320.0,1,0.1111,8.0
Skirts,Women,Woolrich,8,166.14,472.0,0,0.0,
Fashion Hoodies & Sweatshirts,Women,Sauce,8,165.55,319.6,2,0.2,4.0
Fashion Hoodies & Sweatshirts,Women,College Classics,8,164.59,319.6,0,0.0,
Accessories,Men,Fratelli,8,162.65,455.6,1,0.1111,8.0
Intimates,Women,Cortland,8,159.32,319.92,2,0.2,4.0
Intimates,Women,Donna Karan,8,156.1,288.0,1,0.1111,8.0
Tops & Tees,Women,Only Necessities,8,152.0,279.92,1,0.1111,8.0
Maternity,Women,Fancee Free,8,151.9,376.0,1,0.1111,8.0
Plus,Women,Aero Tech Designs,8,150.85,319.6,1,0.1111,8.0
Tops & Tees,Women,French Connection,8,149.12,260.24,1,0.1111,8.0
Sweaters,Women,Sourpuss Clothing,8,146.83,336.0,2,0.2,4.0
Socks,Men,Monte Carlo,8,146.59,239.92,2,0.2,4.0
Shorts,Men,Ocean Current,8,145.28,320.0,0,0.0,
Plus,Women,Osgoode Marley,8,145.24,319.92,0,0.0,
Active,Men,Independent,8,142.59,343.6,1,0.1111,8.0
Intimates,Women,Little Adventures,8,142.34,295.92,1,0.1111,8.0
Sweaters,Women,NI9NE,8,141.72,319.92,1,0.1111,8.0
Skirts,Women,Rafaella,8,140.73,359.92,0,0.0,
Sweaters,Women,Blue Platypus,8,140.16,320.0,1,0.1111,8.0
Tops & Tees,Women,Ayurvastram,8,139.63,239.92,0,0.0,
Underwear,Men,Majestic International,8,136.96,320.0,0,0.0,
Fashion Hoodies & Sweatshirts,Men,Forum,8,136.46,231.68,0,0.0,
Shorts,Women,Dickies,8,134.43,292.24,0,0.0,
Shorts,Men,Rapid Dominance,8,134.27,278.56,1,0.1111,8.0
Fashion Hoodies & Sweatshirts,Men,Canyon Ridge,8,131.76,240.0,1,0.1111,8.0
Accessories,Women,Eagle Eyes,8,131.2,320.0,1,0.1111,8.0
Jeans,Men,Enyce,8,130.04,239.92,3,0.2727,2.67
Leggings,Women,Berkshire,8,128.75,208.0,1,0.1111,8.0
Accessories,Men,Gordini,8,128.3,344.88,0,0.0,
Plus,Women,Wallflower,8,127.68,236.0,1,0.1111,8.0
Shorts,Men,Rock Revival,8,126.32,262.08,0,0.0,
Shorts,Men,Koman,8,125.96,239.92,1,0.1111,8.0
Sweaters,Men,Dickies,8,125.63,271.92,0,0.0,
Sleep & Lounge,Men,Timoteo,8,124.94,304.0,1,0.1111,8.0
Shorts,Men,Under Two Flags,8,122.71,239.2,1,0.1111,8.0
Fashion Hoodies & Sweatshirts,Men,Valor,8,122.12,239.92,0,0.0,
Dresses,Women,Leo's,8,122.09,271.92,1,0.1111,8.0
Plus,Women,Sugar Free Sox,8,122.03,232.0,1,0.1111,8.0
Accessories,Men,Duck Commander,8,120.61,319.92,1,0.1111,8.0
Active,Men,Sugoi,8,118.72,320.0,0,0.0,
Tops & Tees,Women,Sag Harbor,8,116.4,200.0,0,0.0,
Shorts,Women,PinkClubwear,8,114.71,223.6,1,0.1111,8.0
Swim,Men,Hook & Tackle Clothing,8,113.95,199.92,0,0.0,
Blazers & Jackets,Women,My1stwish,8,113.53,271.6,1,0.1111,8.0
Sleep & Lounge,Women,Estee Lauder,8,113.12,175.92,1,0.1111,8.0
Blazers & Jackets,Women,Krazy,8,112.93,319.92,0,0.0,
Leggings,Women,MeMoi,8,108.47,193.36,1,0.1111,8.0
Tops & Tees,Women,MANGO,8,106.76,199.92,1,0.1111,8.0
Dresses,Women,Lagaci Sport,8,104.72,215.92,0,0.0,
Accessories,Women,deLux,8,102.97,231.92,0,0.0,
Socks & Hosiery,Women,Gilbin,8,102.96,234.0,0,0.0,
Shorts,Men,Elixir,8,102.96,199.92,2,0.2,4.0
Underwear,Men,Speedo,8,102.76,207.6,1,0.1111,8.0
Socks & Hosiery,Women,BOOTIGHTS,8,99.82,272.0,0,0.0,
Underwear,Men,ASICS,8,99.2,200.0,0,0.0,
Maternity,Women,Easy Expression,8,99.09,239.92,0,0.0,
Accessories,Women,Polo Ralph Lauren,8,97.59,271.84,0,0.0,
Tops & Tees,Men,Comfort Colors,8,96.55,167.92,0,0.0,
Socks,Men,Fox River Socks,8,95.46,151.04,0,0.0,
Maternity,Women,Nizo Wear,8,94.36,215.92,0,0.0,
Plus,Women,Fappac,8,94.28,194.0,0,0.0,
Plus,Women,Talitania,8,94.28,207.2,0,0.0,
Intimates,Women,ExOfficio,8,93.41,175.92,0,0.0,
Tops & Tees,Men,Pepsi,8,93.39,159.92,0,0.0,
Fashion Hoodies & Sweatshirts,Women,Woolrich,8,92.82,200.48,0,0.0,
Intimates,Women,Choye Toi,8,92.0,160.0,1,0.1111,8.0
Dresses,Women,U.S. Polo Assn.,8,91.33,215.92,0,0.0,
Tops & Tees,Women,Fluff,8,91.2,160.0,1,0.1111,8.0
Shorts,Men,Axis,8,91.0,200.0,4,0.3333,2.0
